2.120712786702005914e+00	2.399777229611880216e+02	3.785405299382947533e+02
3.239425295159248375e-01	2.411324474100829036e+02	3.769940872098846398e+02
3.864990564627613256e+00	2.398630769741153301e+02	3.784145092994410788e+02
1.261492122723370635e+00	2.400749098274779953e+02	3.800961585941338399e+02
1.391598985661825383e+00	2.405599930042777714e+02	3.794237062513299179e+02
2.161137345322584835e+00	2.378119680240413061e+02	3.789656512106613491e+02
4.398401611149028057e+00	2.380551080028419619e+02	3.776471119965967773e+02
3.325847038093304953e+00	2.390818447479834674e+02	3.781616219976543221e+02
1.694488004652639823e+00	2.404007553746164945e+02	3.794544110838223787e+02
2.224207351965336255e+00	2.388367340588191894e+02	3.796157226593919063e+02
4.712053963291485275e+02	3.767883875736051209e+02	4.232674358091616114e+02
4.707226545010785230e+02	3.766938736209604031e+02	4.260546799635546904e+02
4.704957930185997839e+02	3.764089665562673304e+02	4.227886944195846581e+02
4.703538156859292485e+02	3.748974526855262184e+02	4.230780194508616319e+02
4.696847989997265813e+02	3.769532930104766706e+02	4.217044794558811986e+02
4.711648280598943757e+02	3.768888524253057994e+02	4.242325232151309251e+02
4.721403291825405404e+02	3.770546032678258257e+02	4.246510342836026553e+02
4.724565839203464179e+02	3.780258601518942214e+02	4.235478939652067538e+02
4.725502776925874286e+02	3.761498115121620458e+02	4.225737453470397895e+02
4.706588392202957607e+02	3.778007007886115503e+02	4.227439402933665633e+02
3.829721082165978032e+02	1.462389177099694848e+02	1.204544442647248417e+02
3.813751434989701465e+02	1.472447357659627301e+02	1.193078086285435546e+02
3.825030734443277538e+02	1.448590472121411210e+02	1.196055879874048173e+02
3.819960838357364423e+02	1.463448293562064464e+02	1.215510955444660937e+02
3.839105944151777408e+02	1.468134609338259793e+02	1.194739858271971542e+02
3.835561047167797142e+02	1.478523591896191078e+02	1.197395547809980485e+02
3.824066508093452512e+02	1.448636042190105115e+02	1.208106570334298624e+02
3.821338890731783522e+02	1.451982658027419575e+02	1.202488830703190814e+02
3.824982524685513567e+02	1.457342085408743628e+02	1.222579364812878993e+02
3.826074643927366878e+02	1.451197436354073886e+02	1.201989064015060507e+02
